phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,phase_var,pfa,q
1,27,51,274,0.2948527932167053,1.027299165725708,0.28701746463775635,0.28191323573038063,-0.30021342635154724,-0.12501689791679382,-0.17519652843475342,,,,,,0.19607843137254902,0.16,2.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,28,51,274,0.35178759694099426,1.1547832489013672,0.3046351671218872,0.30358680217269285,-0.13714264333248138,-0.11821489036083221,-0.01892775297164917,,,,,,0.13725490196078433,0.08,3.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,29,51,274,0.299034059047699,1.1770761013031006,0.2540481984615326,0.25418771658636397,-0.09290763735771179,-0.1184108555316925,0.025503218173980713,,,,,,0.13725490196078433,0.08,3.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
1,30,51,274,0.22643418610095978,1.1403449773788452,0.19856639206409454,0.2000647263903882,-0.06341233104467392,-0.054949719458818436,-0.008462611585855484,,,,,,0.11764705882352941,0.12,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,0,40,277,0.3722881078720093,0.8741377592086792,0.42589181661605835,0.42296409463033424,0.19525295495986938,0.11634033918380737,0.07891261577606201,,,,,,0.0,0.0,0.0,1,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,1,40,277,0.3172380328178406,0.8447217345237732,0.37555330991744995,0.37353749703860323,0.2638334035873413,0.14358775317668915,0.12024565041065216,,,,,,0.025,0.05128205128205128,1.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,2,40,277,0.30310356616973877,0.8336281776428223,0.3635956346988678,0.3606237250907301,0.32662925124168396,0.20503871142864227,0.12159053981304169,,,,,,0.05,0.10256410256410256,1.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,3,40,277,0.24319599568843842,0.8363988995552063,0.29076555371284485,0.28990931575940354,0.2694898247718811,0.21086496114730835,0.058624863624572754,,,,,,0.075,0.10256410256410256,1.5,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,4,40,277,0.1719600111246109,0.9064579606056213,0.18970544636249542,0.19013366153027134,0.2590124309062958,0.2809155285358429,-0.02190309762954712,,,,,,0.15,0.15384615384615385,2.0,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
2,5,40,277,0.1126784086227417,1.0543761253356934,0.10686737298965454,0.10711384581148593,0.27141904830932617,0.30450567603111267,-0.0330866277217865,,,,,,0.175,0.20512820512820512,1.75,0,,"2011-01-01,2020-12-31",60,200,blockperm,outage,0,z500_amp_gated,burst_gate,driver_phase_index,0.1,0.2
