phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,outage,lcr,afd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,amp_var,gate_var,gate_source,gate_percentile,gate_threshold,gate_train,phase_var,pfa,q
2,2,38,391,9.689769259505681,20.627460712038555,0.46975094970611475,0.4559428335819731,8.075974464416504,-2.8214335441589355,10.89740800857544,,,,,,0.15789473684210525,0.16216216216216217,2.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,3,38,391,12.527053159506767,24.263692164359696,0.5162880024461993,0.5007263859308102,10.299355506896973,-3.636518955230713,13.935874462127686,,,,,,0.13157894736842105,0.10810810810810811,2.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,4,38,391,11.809436077603893,25.67965140759767,0.4598752487002184,0.44533437476857335,10.68061113357544,-5.015335559844971,15.69594669342041,,,,,,0.15789473684210525,0.10810810810810811,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,5,38,391,11.267719492145751,25.867812847672642,0.43558841091428113,0.4254083786170553,10.391761779785156,-3.6985223293304443,14.0902841091156,,,,,,0.15789473684210525,0.10810810810810811,3.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,6,38,391,10.993497077712625,27.650755196414604,0.3975839719248652,0.38797929513426427,8.197879791259766,-3.5495073795318604,11.747387170791626,,,,,,0.18421052631578946,0.16216216216216217,2.3333333333333335,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,7,38,391,10.573915190771594,29.893344340926177,0.35372138594393165,0.34415465759653713,11.582152843475342,-6.043869495391846,17.626022338867188,,,,,,0.23684210526315788,0.21621621621621623,2.25,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,8,38,391,6.972621142856204,29.14904651305481,0.23920580523048732,0.23168889029027182,14.486427783966064,-4.722115516662598,19.208543300628662,,,,,,0.21052631578947367,0.10810810810810811,4.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,9,38,391,2.072287315987918,26.799438740852466,0.07732577297706497,0.07533638496425157,5.463055610656738,-4.5573039054870605,10.020359516143799,,,,,,0.23684210526315788,0.10810810810810811,4.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,10,38,391,-0.36627657980284445,26.394454541435273,-0.013877027813848019,-0.01366744327492486,-1.2632817924022675,-1.5420862436294556,0.2788044512271881,,,,,,0.2631578947368421,0.10810810810810811,5.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,11,38,391,1.0931512849180507,26.239660998270388,0.04166026706633545,0.04138509467985902,4.128073811531067,-1.2209694385528564,5.349043250083923,,,,,,0.21052631578947367,0.16216216216216217,2.6666666666666665,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,12,38,391,5.446456682983511,24.714069192385548,0.2203787907440825,0.22111415078487928,5.108324646949768,-1.370071530342102,6.47839617729187,,,,,,0.21052631578947367,0.10810810810810811,4.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,13,38,391,7.9934534819340115,23.441094841061563,0.3410017124256478,0.3440646602203909,5.116173505783081,0.1717488020658493,4.944424703717232,,,,,,0.10526315789473684,0.10810810810810811,2.0,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
2,14,38,391,9.552680788967377,23.31785990178487,0.4096722782109247,0.41000031707588785,11.538195133209229,0.18993428349494934,11.34826084971428,,,,,,0.15789473684210525,0.21621621621621623,1.5,0,,"2011-01-01,2020-12-31",60,500,blockperm,outage,0,z500_amp_weighted,burst_gate,recompute,85.0,12.232402038574218,"1991-01-01,2010-12-31",driver_phase_index,0.1,0.2
