phase,lag,context_len,MI_bits,H_uncond,H_cond
6,9,2,0.018660544105925325,3.5331553722996816,3.5144948281937562
6,10,2,0.04372888431842137,3.637129575149156,3.5934006908307348
6,11,2,0.05023437534961861,3.676466992058428,3.6262326167088093
6,12,2,0.029362915531519374,3.780557811027155,3.751194895495636
6,13,2,0.03370838231571982,3.6920335197177194,3.6583251374019996
6,14,2,0.008196016301187381,3.6576768034117064,3.649480787110519
6,15,2,0.028036608665058083,3.582849489563676,3.554812880898618
6,16,2,0.02144130014940293,3.513100676584635,3.491659376435232
6,17,2,0.03423599148040424,3.4662153752800946,3.4319793837996904
6,18,2,0.029340581495313156,3.411465169122905,3.382124587627592
6,19,2,0.032313826052351224,3.5083781700684717,3.4760643440161205
6,20,2,0.02020082730689987,3.550289995026468,3.5300891677195683
6,21,2,-0.003075815318595687,3.6219222170299963,3.624998032348592
6,22,2,0.01930672169633718,3.6468372304561445,3.6275305087598073
6,23,2,-0.003957442009073997,3.479846047885794,3.483803489894868
6,24,2,-0.042391993091110525,3.635779312774475,3.6781713058655856
6,25,2,-0.011702452169221278,3.652054596059518,3.663757048228739
6,26,2,-0.09421507310987387,3.63417783480718,3.728392907917054
6,27,2,-0.036719169475436075,3.6376106855483186,3.6743298550237546
6,28,2,-0.046444132843586505,3.622589610443999,3.6690337432875855
6,29,2,-0.05163193170757019,3.6043584869634926,3.655990418671063
6,30,2,-0.04532491829777685,3.618881694861482,3.664206613159259
7,0,1,-0.00220520654336287,3.8435503679959284,3.8457555745392913
7,1,1,-0.003692770821172253,3.8445052205293293,3.8481979913505016
7,2,1,0.03601088006402131,3.796380760596654,3.760369880532633
7,3,1,0.05506801218084734,3.723197770632734,3.6681297584518866
7,4,1,0.03735355024635112,3.7550882720132908,3.7177347217669396
7,5,1,-0.0045950772955012376,3.7932792685954997,3.797874345891001
7,6,1,-0.004402802849388543,3.797277999049023,3.8016808018984114
7,7,1,0.02850801968948158,3.7436898861877284,3.7151818664982468
7,8,1,0.002828590025512945,3.661514195684706,3.658685605659193
7,9,1,-0.052780211834385415,3.696469061293265,3.7492492731276506
7,10,1,-0.050763920960188,3.7024174242437353,3.7531813452039233
7,11,1,-0.08407900547165292,3.797023155002092,3.881102160473745
7,12,1,-0.1249562239403188,3.893382513692921,4.01833873763324
7,13,1,-0.15765071243575157,3.8426448871076717,4.000295599543423
7,14,1,-0.1235185287646634,3.827470736236376,3.950989265001039
7,15,1,-0.004807840389837281,3.8380676711671846,3.842875511557022
7,16,1,0.03616893048811498,3.798120497391557,3.7619515669034422
7,17,1,0.08638211249528949,3.751032494353117,3.6646503818578275
7,18,1,0.0590920945314366,3.783367623182664,3.7242755286512272
7,19,1,0.05313899373268294,3.9248078080019253,3.8716688142692424
7,20,1,0.06371744852369732,3.8130546613228535,3.749337212799156
7,21,1,0.05593774849443811,3.806783851797679,3.7508461033032408
7,22,1,0.07463004110150484,3.726086768627385,3.65145672752588
7,23,1,0.04427197324823151,3.7449543442284483,3.700682370980217
7,24,1,0.010023622592922443,3.7265296239535584,3.716506001360636
7,25,1,0.01125430845046882,3.7776282308162976,3.766373922365829
7,26,1,0.03886708324644461,3.758948208355625,3.7200811251091803
7,27,1,0.07153846301771072,3.6762144340593883,3.6046759710416776
7,28,1,-0.002987846897164914,3.615964065473409,3.618951912370574
