phase,lag,n_on,n_off,diff,std_off,snr,cohen_d,median_on,median_off,diff_median,auc,sinr,selectivity,pd_at_pfa,jsd,bestlag_phase,train_window,test_window,block_len,n_null,null_mode,stat,two_sided,pfa
2,4,8,421,-3.24570894241333,25.05008316040039,-0.12956878542900085,-0.12868482536441156,5.164941787719727,-4.930925369262695,10.095867156982422,,,-0.06101396679878235,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,5,8,421,-1.5200963020324707,25.233932495117188,-0.06024016812443733,-0.06003031556862059,5.576108932495117,-6.935040473937988,12.511149406433105,,,-0.0655355155467987,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,6,8,421,0.5761713981628418,27.10613441467285,0.02125612646341324,0.02125820930970989,4.294755458831787,-7.284605503082275,11.579360961914062,,,-0.06244295835494995,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,7,8,421,1.1053895950317383,28.77050018310547,0.038420937955379486,0.038493912479422666,-10.22074031829834,-8.28392505645752,-1.9368152618408203,,,0.0023473799228668213,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,8,8,421,2.185317039489746,27.97429847717285,0.07811874151229858,0.07802007733019867,-18.934497833251953,-8.40755558013916,-10.526942253112793,,,0.10818642377853394,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,9,8,421,5.288388729095459,25.429855346679688,0.207959845662117,0.20660022785177737,-9.672147750854492,-7.704524517059326,-1.967623233795166,,,0.1478651762008667,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,10,8,421,6.211551666259766,23.82638168334961,0.2607005834579468,0.2584645771484797,-12.711358070373535,-5.638096809387207,-7.073261260986328,,,0.17221474647521973,,,1,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,11,8,421,5.408544540405273,23.008926391601562,0.2350628823041916,0.2333858358765441,-14.583666801452637,-6.4199724197387695,-8.163694381713867,,,0.15418463945388794,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,12,8,421,2.481762647628784,21.533166885375977,0.1152530238032341,0.11474097260764017,-5.077021598815918,-5.5872483253479,0.5102267265319824,,,0.07275205850601196,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,13,8,421,2.0141003131866455,20.64496612548828,0.09755890816450119,0.09720501147739308,-1.493211269378662,-3.543060779571533,2.049849510192871,,,0.06373566389083862,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,14,8,421,4.246472358703613,20.560914993286133,0.20653128623962402,0.20571233018631357,-5.898488998413086,-3.65966534614563,-2.238823652267456,,,0.08595094084739685,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,15,8,421,6.3696770668029785,21.800344467163086,0.29218241572380066,0.29083944376378906,-12.035005569458008,-5.895839691162109,-6.139165878295898,,,0.09268316626548767,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,16,8,421,8.32152271270752,22.230087280273438,0.37433603405952454,0.37301778918303646,-11.443599700927734,-6.671498775482178,-4.772100925445557,,,0.059593141078948975,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,17,8,421,8.837884902954102,21.8917293548584,0.4037088453769684,0.40258803727511383,-6.00386905670166,-6.796235084533691,0.7923660278320312,,,0.04211124777793884,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,18,8,421,9.093365669250488,22.98388671875,0.39564090967178345,0.39528430096186506,-1.1228448152542114,-7.945267200469971,6.822422504425049,,,0.0005325376987457275,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,19,8,421,9.846102714538574,24.655498504638672,0.39934712648391724,0.4004442903475544,3.1777820587158203,-7.858650207519531,11.036432266235352,,,-0.0602380633354187,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,20,8,421,10.826057434082031,24.825958251953125,0.43607813119888306,0.43873009280230096,6.670902252197266,-6.096614360809326,12.76751708984375,,,-0.1667567789554596,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,21,8,421,10.997020721435547,24.44254493713379,0.4499130845069885,0.45238519663402854,10.187323570251465,-2.9591903686523438,13.146513938903809,,,-0.08085170388221741,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,22,8,421,7.582760334014893,23.792539596557617,0.3187032639980316,0.31925063259634506,5.971461772918701,0.2664373219013214,5.705024242401123,,,0.05241870880126953,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,23,8,421,2.7477240562438965,22.241649627685547,0.12353958189487457,0.12339273113782363,1.8656996488571167,-0.01931481622159481,1.8850144147872925,,,0.07078281044960022,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,24,8,421,1.2642613649368286,21.73013687133789,0.05818009376525879,0.0581365566459421,-0.049799442291259766,-0.9190906882286072,0.8692912459373474,,,0.016944855451583862,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,25,8,421,3.033686637878418,21.517070770263672,0.1409897655248642,0.1412575268139874,2.325590133666992,-1.2278753519058228,3.5534653663635254,,,-0.06698629260063171,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,26,8,421,6.259030342102051,20.364011764526367,0.30735743045806885,0.3081081494343465,10.857165336608887,-1.3032010793685913,12.16036605834961,,,-0.04989340901374817,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,27,8,421,6.167366027832031,18.69236183166504,0.32994043827056885,0.33019627211588454,7.732780456542969,-0.6046332120895386,8.337413787841797,,,-0.011247247457504272,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,28,8,421,4.072201251983643,17.79411506652832,0.22885100543498993,0.22878149993584204,3.5146701335906982,-0.7041786909103394,4.218848705291748,,,-0.019121795892715454,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,29,8,421,2.807522773742676,17.295207977294922,0.1623295247554779,0.16233822311499482,0.8140696883201599,-0.814275860786438,1.6283454895019531,,,-0.01593095064163208,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
2,30,8,421,2.7811498641967773,16.73328399658203,0.16620466113090515,0.16639628837773163,0.38388848304748535,-1.1388907432556152,1.5227792263031006,,,-0.00605618953704834,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,0,25,457,-4.229287147521973,21.379133224487305,-0.19782313704490662,-0.19691950100210837,-18.923717498779297,-3.852944850921631,-15.070772171020508,,,0.049310505390167236,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,1,25,457,-4.2575297355651855,22.653675079345703,-0.18793991208076477,-0.18710548385482126,-23.188156127929688,-4.4103803634643555,-18.777774810791016,,,0.04073530435562134,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,2,25,457,-2.684121608734131,23.584524154663086,-0.11380859464406967,-0.11388768637062671,-15.028115272521973,-4.7225751876831055,-10.305540084838867,,,-0.03800716996192932,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,3,25,457,0.903501033782959,23.10837173461914,0.039098430424928665,0.03931733582238171,-6.0980000495910645,-3.8783531188964844,-2.21964693069458,,,-0.1272914558649063,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,4,25,457,4.371015548706055,21.27938461303711,0.20541080832481384,0.20399223321856902,9.470396041870117,-3.407731056213379,12.878127098083496,,,-0.07372379302978516,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,5,25,457,6.920110702514648,20.240083694458008,0.3419013023376465,0.3307160571729734,20.0748348236084,-1.1391538381576538,21.2139892578125,,,0.06644096970558167,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,6,25,457,6.0044331550598145,20.66191291809082,0.2906039357185364,0.28152914265653206,18.91196060180664,0.4331035315990448,18.478857040405273,,,0.10458511114120483,,,1,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,7,25,457,3.6723275184631348,19.980899810791016,0.1837919056415558,0.1798440061835484,9.775471687316895,-1.5184053182601929,11.293876647949219,,,0.07272285223007202,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,8,25,457,0.8539952039718628,18.312480926513672,0.046634599566459656,0.04619281539628023,4.153842449188232,-1.2114254236221313,5.365267753601074,,,-0.008943229913711548,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,9,25,457,-0.9686613082885742,16.545705795288086,-0.0585445761680603,-0.058447136888593876,-0.8130561113357544,-1.6080416440963745,0.7949855327606201,,,-0.06311626732349396,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,10,25,457,-1.3608616590499878,14.377713203430176,-0.09465077519416809,-0.09480010784861795,0.5675862431526184,-1.2365368604660034,1.8041231632232666,,,-0.08291591703891754,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,11,25,457,-1.5333082675933838,12.724303245544434,-0.12050233781337738,-0.12085711187784448,0.14199994504451752,-0.7564967274665833,0.898496687412262,,,-0.08648721873760223,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,12,25,457,-1.5872483253479004,11.891312599182129,-0.13347965478897095,-0.1337864316861191,-1.0013043880462646,-1.226710319519043,0.22540593147277832,,,-0.08500489592552185,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,13,25,457,-1.678417444229126,11.309126853942871,-0.14841264486312866,-0.14858067455827426,-0.5754907727241516,-0.9629840850830078,0.3874933123588562,,,-0.0815960019826889,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,14,25,457,-1.820426106452942,11.243861198425293,-0.1619040071964264,-0.16211919766872585,-2.8804779052734375,-1.9373435974121094,-0.9431343078613281,,,-0.07455332577228546,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,15,25,457,-1.9568740129470825,11.519729614257812,-0.169871523976326,-0.17007077043050456,-4.834005832672119,-2.026268720626831,-2.807737112045288,,,-0.07359974086284637,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,16,25,457,-1.9994561672210693,11.757529258728027,-0.1700575053691864,-0.16988104637941562,-4.555042266845703,-2.264468193054199,-2.290574073791504,,,-0.06719213724136353,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
3,17,25,457,-1.9759492874145508,12.241089820861816,-0.16141939163208008,-0.1607887423306531,-4.744442939758301,-3.036263942718506,-1.708178997039795,,,-0.04876171052455902,,,0,,"2011-01-01,2020-12-31",60,500,blockperm,selectivity,0,0.1
